sapl_id,status,veredito,score_greenwashing,score_derivado,divergencia_score,retorica,efeito,mecanismos,confianca,n_citacoes,n_citacoes_evidencia,n_citacoes_editorial,n_citacoes_orfas,n_secao_mal_declarada,vazamento,vazamento_origem,fonte_texto,texto_truncado,dossie_versao,lacunas,justificativa,problemas,modelo,prompt_versao,quando
10075,descartada,nao_ambiental,0.0,0.0,0.0,nenhuma,neutro,,1.0,2,1,0,1,0,True,dossie,ambos,false,3,,"O Decreto Legislativo nº 1422/2021 possui natureza estritamente administrativa e de cumprimento de dever constitucional. A norma não cria política pública nem altera o regime de proteção ambiental por vontade própria do legislador, mas apenas formaliza a suspensão de uma lei estadual (Lei nº 2.027/2009) que já havia sido declarada inconstitucional pelo Tribunal de Justiça do Estado de Rondônia (ADI nº 0803243-37.2017.8.22.0000).","1/2 citações órfãs | VAZAMENTO (origem: DOSSIÊ): a resposta fala em «inconstitucional» e o termo está no próprio dossiê — o anti-vazamento cobre só o cabeçalho, não o texto dos documentos. Falha nossa de montagem; a análise deixa de ser cega mesmo assim.",google/gemini-3.1-flash-lite,v2.2,2026-07-30T15:48:05+00:00
10268,ok,greenwashing,0.8,0.5,0.3,leve,enfraquece,M1_norma_programatica_vazia;M2_reframing_de_regressao,0.9,3,3,0,0,0,False,,ambos,false,3,"Não há lacunas significativas, pois o dossiê contém o projeto original e a lei promulgada, permitindo a comparação direta.","A norma utiliza uma retórica de fortalecimento da capacidade operacional da SEDAM para justificar a alteração do FEPRAM. No entanto, o efeito prático é a desnaturação do fundo, que passa a ser utilizado como fonte de custeio para despesas de pessoal (contratações temporárias) em vez de ser aplicado exclusivamente em projetos de proteção e recuperação ambiental. Ao permitir que até 30% da receita do fundo seja drenada para o pagamento de salários, a norma enfraquece a capacidade financeira de execução de políticas ambientais diretas, enquadrando-se como uma medida de desvio de finalidade orçamentária sob o pretexto de 'melhoria da infraestrutura'.",,google/gemini-3.1-flash-lite,v2.2,2026-07-30T15:48:09+00:00
10363,ok,simbolica,0.4,,,forte,indeterminado,M1_norma_programatica_vazia,0.8,3,3,0,0,0,False,,ambos,false,3,Ausência de regulamentação ou decreto que defina como a bacia hidrográfica será integrada aos sistemas de licenciamento existentes. | Falta de clareza sobre a hierarquia decisória entre os comitês de bacia e os órgãos ambientais estaduais.,"A norma apresenta uma retórica de fortalecimento da gestão ambiental ao propor a bacia hidrográfica como unidade de planejamento. Contudo, o texto legal é extremamente genérico e carece de mecanismos operacionais, prazos, dotação orçamentária ou sanções, configurando-se como uma norma programática vazia (M1). Não há qualquer alteração entre o projeto original e a lei promulgada, o que reforça a ausência de um debate técnico sobre a implementação prática da medida.

A justificativa do autor alega que a medida permitiria uma 'atuação mais qualificada dos conselheiros dos comitês de bacia', mas a lei não estabelece como essa articulação entre o licenciamento ambiental e os comitês de bacia será efetivada, nem altera as competências das Unidades Regionais Colegiadas. Por não criar obrigações c",,google/gemini-3.1-flash-lite,v2.2,2026-07-30T15:48:13+00:00
10377,com_ressalvas,simbolica,0.3,0.25,0.05,forte,neutro,M1_norma_programatica_vazia,0.9,3,2,0,1,0,False,,ambos,false,3,Ausência de metas quantitativas ou indicadores de desempenho para avaliar a eficácia da campanha 'Setembro Cinza'.,"A norma possui caráter estritamente simbólico e pedagógico, enquadrando-se como norma programática vazia (M1). O texto utiliza verbos facultativos ('poderá') para descrever as ações do Poder Executivo, não estabelecendo metas, prazos, dotação orçamentária específica ou mecanismos de fiscalização que alterem a realidade das queimadas no estado. A justificativa do autor aponta para a gravidade dos incêndios, mas a lei resultante limita-se a criar uma data no calendário oficial.

Não foram identificadas alterações significativas entre o projeto original e a lei promulgada que indiquem a inserção de 'jabutis' ou retrocessos cirúrgicos. A norma atua no campo da retórica de conscientização, sem conferir novos poderes ou obrigações concretas aos órgãos ambientais, mantendo o status quo da gestão ",1/3 citações órfãs,google/gemini-3.1-flash-lite,v2.2,2026-07-30T15:48:17+00:00
10470,ok,greenwashing,0.8,1.0,0.2,forte,enfraquece,M2_reframing_de_regressao;M5_delegacao_desregulamentadora,0.9,4,4,0,0,0,False,,ambos,false,3,Faltam dados sobre o impacto real da fiscalização estadual após a promulgação da lei. | Não há informações sobre a capacidade técnica da SEDAM para gerir o volume de criadores mencionados na justificativa.,"A norma utiliza uma retórica de 'gestão' e 'uso sustentável' para legitimar a criação e comercialização de passeriformes, enquadrando a atividade como uma preservação cultural da região Norte. No entanto, o efeito prático é a facilitação da exploração comercial da fauna silvestre. A lei transfere responsabilidades de fiscalização e guarda para os próprios criadores (como no caso do fiel depositário, Art. 54), o que fragiliza o controle estatal sobre o tráfico e a manutenção irregular de aves.

Além disso, a norma institucionaliza a venda de animais em torneios (Art. 45, § 6º), um ambiente historicamente associado a riscos de tráfico e maus-tratos, sob o pretexto de 'organização' e 'modernização'. A comparação entre o projeto e a lei mostra que a estrutura foi mantida, consolidando um siste",,google/gemini-3.1-flash-lite,v2.2,2026-07-30T15:48:23+00:00
10545,ok,greenwashing,0.8,0.5,0.3,leve,enfraquece,M2_reframing_de_regressao,0.9,3,3,0,0,0,False,,ambos,false,3,,"A norma utiliza a retórica de 'equalização da estrutura administrativa' e 'normatização da realidade fática' para justificar o remanejamento de cargos estratégicos da SEDAM para a PGE. O discurso parlamentar e a justificativa do Executivo enquadram a medida como um ajuste técnico, ocultando o impacto negativo na capacidade de fiscalização ambiental. Ao retirar cargos especificamente vinculados à 'Diretoria de Autos de Infração' da pasta ambiental, a norma enfraquece a estrutura de controle e sanção, configurando um retrocesso disfarçado de modernização administrativa.

Não houve alterações significativas entre o projeto e a lei promulgada que mitigassem o impacto negativo, mantendo-se a transferência dos cargos de fiscalização. A norma atua sob o mecanismo de reframing, onde a redução da c",,google/gemini-3.1-flash-lite,v2.2,2026-07-30T15:48:27+00:00
10919,com_ressalvas,simbolica,0.4,0.25,0.15,forte,neutro,M1_norma_programatica_vazia,0.9,4,3,0,1,0,False,,ambos,false,3,Ausência de previsão de sanções ou mecanismos de fiscalização que garantam a execução do programa. | Falta de definição de orçamento ou dotação específica para a implementação das diretrizes propostas.,"A norma apresenta uma retórica ambiental forte, focada na conscientização e na gestão de resíduos sólidos, conforme exposto na justificativa do autor. Contudo, o efeito prático é limitado pela natureza programática da lei. O uso da expressão 'se possível' no inciso III do Art. 1º retira o caráter impositivo da norma, tornando a separação de resíduos uma recomendação e não uma obrigação efetiva. Além disso, a lei não estabelece sanções para o descumprimento, nem define órgãos responsáveis pela fiscalização, dependendo inteiramente de uma regulamentação futura pelo Poder Executivo (Art. 2º), o que caracteriza a norma como simbólica.",1/4 citações órfãs,google/gemini-3.1-flash-lite,v2.2,2026-07-30T15:48:31+00:00
10960,com_ressalvas,simbolica,0.2,0.25,0.05,forte,neutro,M1_norma_programatica_vazia,0.9,3,2,0,1,0,False,,ambos,false,3,,"A norma possui caráter predominantemente simbólico e corporativo. Embora apresente uma retórica voltada à valorização do profissional de gestão ambiental e ao desenvolvimento sustentável, o efeito prático é limitado pela ressalva expressa no Art. 3º, que garante que a lei não exclui outros profissionais já habilitados de exercerem as mesmas funções. Não há, portanto, um impacto direto na proteção ambiental, mas sim uma organização de atribuições profissionais que já ocorriam no mercado.

Não foram identificados mecanismos de dissimulação (greenwashing) ou retrocesso, pois a norma não altera as exigências técnicas de licenciamento ou fiscalização ambiental, apenas formaliza o escopo de atuação de uma categoria específica. A comparação entre o projeto e a lei não revelou alterações substanci",1/3 citações órfãs,google/gemini-3.1-flash-lite,v2.2,2026-07-30T15:48:35+00:00
11199,com_ressalvas,greenwashing,0.9,1.0,0.1,forte,enfraquece,M2_reframing_de_regressao;M5_delegacao_desregulamentadora,0.95,4,2,0,2,0,False,,ambos,false,3,Faltam dados sobre o impacto ambiental acumulado da dispensa de licenciamento para estradas rurais no estado de Rondônia. | Não há menção a critérios técnicos de monitoramento para as atividades dispensadas.,"A norma utiliza uma retórica de 'segurança jurídica' e apoio ao 'pequeno produtor' para justificar a desregulamentação de atividades com potencial impacto ambiental. O efeito prático é a dispensa de licenciamento ambiental para abertura de estradas e aceiros, atividades que, sem controle, podem resultar em desmatamento e fragmentação de ecossistemas. A inclusão dos incisos II e III via emendas parlamentares durante a tramitação (M4) consolida a desregulamentação, transferindo a responsabilidade de controle para a autodeclaração ou acordo entre particulares, esvaziando a função fiscalizatória do órgão ambiental (M5).",2/4 citações órfãs,google/gemini-3.1-flash-lite,v2.2,2026-07-30T15:48:39+00:00
11221,ok,greenwashing,0.8,0.5,0.3,leve,enfraquece,M2_reframing_de_regressao,1.0,3,3,0,0,0,False,,ambos,false,3,,"A norma utiliza a retórica da 'desburocratização' e da 'dificuldade de obtenção de licenças' para justificar o adiamento do licenciamento ambiental de atividades potencialmente poluidoras. Ao prorrogar o prazo para 2028, a lei cria um vácuo de fiscalização e controle para empreendimentos de grande porte (acima de 1.000 hectares) e para aqueles situados em zonas de amortecimento de Unidades de Conservação, áreas que exigem maior rigor ambiental. 

O mecanismo de dissimulação é claro: apresenta-se como uma medida de apoio ao produtor rural frente a entraves burocráticos, mas na prática suspende a eficácia do licenciamento ambiental — instrumento central da Política Nacional do Meio Ambiente — para setores que, por sua natureza e localização, deveriam estar sob controle estatal constante. Não",,google/gemini-3.1-flash-lite,v2.2,2026-07-30T15:48:44+00:00
